province,Only English,Only French,Bilingual,Neither
British Columbia,3912950,2050,296645,144560
Alberta,3321815,3205,235565,49600
Saskatchewan,965920,430,46570,5390
Manitoba,1074330,1490,103145,14130
Ontario,10984360,42980,1395810,298920
Quebec,363860,4047175,3328730,76195
New Brunswick,426675,66380,245890,955
Nova Scotia,814670,875,93440,1635
Prince Edward Island,120590,130,17005,710
Newfoundland & Labrador,485740,130,23450,630
Yukon,29050,90,4420,100
Northwest Territories,37045,50,3720,240
Nunavut,27670,35,1205,2865
